byear,time,ProportionGoers,ProportionIrregulars,ProportionAbsentees
1980,0,0.188902007,0.282172373,0.52892562
1980,1,0.179456907,0.290436836,0.530106257
1980,2,0.153482881,0.295159386,0.551357733
1980,3,0.168831169,0.26446281,0.566706021
1980,4,0.165289256,0.26446281,0.570247934
1980,5,0.178276269,0.256198347,0.565525384
1980,6,0.160566706,0.244391972,0.595041322
1980,7,0.165289256,0.26446281,0.570247934
1980,8,0.172373081,0.256198347,0.571428571
1980,9,0.161747344,0.25501771,0.583234947
1980,10,0.164108619,0.272727273,0.563164109
1981,0,0.244582043,0.305469556,0.4499484
1981,1,0.216718266,0.30753354,0.475748194
1981,2,0.203302374,0.297213622,0.499484004
1981,3,0.215686275,0.278637771,0.505675955
1981,4,0.205366357,0.24871001,0.545923633
1981,5,0.212590299,0.264189886,0.523219814
1981,6,0.196078431,0.26006192,0.543859649
1981,7,0.192982456,0.253869969,0.553147575
1981,8,0.192982456,0.253869969,0.553147575
1981,9,0.186790506,0.237358101,0.575851393
1981,10,0.209494324,0.230134159,0.560371517
1982,0,0.267258383,0.281065089,0.451676529
1982,1,0.227810651,0.304733728,0.467455621
1982,2,0.204142012,0.278106509,0.517751479
1982,3,0.209072978,0.255424063,0.535502959
1982,4,0.181459566,0.253451677,0.565088757
1982,5,0.212031558,0.235700197,0.552268245
1982,6,0.172583826,0.241617357,0.585798817
1982,7,0.1765286,0.23964497,0.58382643
1982,8,0.205128205,0.214990138,0.579881657
1982,9,0.190335306,0.235700197,0.573964497
1982,10,0.185404339,0.212031558,0.602564103
1983,0,0.342478713,0.241248817,0.416272469
1983,1,0.270577105,0.293282876,0.436140019
1983,2,0.223273415,0.280983917,0.495742668
1983,3,0.195837275,0.276253548,0.527909177
1983,4,0.182592242,0.260170293,0.557237465
1983,5,0.187322611,0.275307474,0.537369915
1983,6,0.183538316,0.242194891,0.574266793
1983,7,0.176915799,0.236518448,0.586565752
1983,8,0.174077578,0.235572375,0.590350047
1983,9,0.16461684,0.252601703,0.582781457
1983,10,0.175969726,0.241248817,0.582781457
1984,0,0.399038462,0.234615385,0.366346154
1984,1,0.344230769,0.255769231,0.4
1984,2,0.251923077,0.285576923,0.4625
1984,3,0.220192308,0.304807692,0.475
1984,4,0.178846154,0.277884615,0.543269231
1984,5,0.167307692,0.272115385,0.560576923
1984,6,0.159615385,0.231730769,0.608653846
1984,7,0.158653846,0.251923077,0.589423077
1984,8,0.163461538,0.236538462,0.6
1984,9,0.153846154,0.238461538,0.607692308
1984,10,0.165384615,0.230769231,0.603846154
