cohort,cattrans,t00,t01,t02,t03,t04,t05,t06,t07,t08,pt00,pt01,pt02,pt03,pt04,pt05,pt06,pt07,pt08
1980,G,167,156,137,149,144,158,140,146,152,0.187219731,0.174887892,0.153587444,0.167040359,0.161434978,0.177130045,0.156950673,0.16367713,0.170403587
1980,I,252,261,263,236,241,229,223,238,231,0.282511211,0.292600897,0.294843049,0.264573991,0.270179372,0.256726457,0.25,0.266816143,0.25896861
1980,A,473,475,492,507,507,505,529,508,509,0.530269058,0.532511211,0.551569507,0.56838565,0.56838565,0.566143498,0.593049327,0.569506726,0.570627803
1980,gg,,103,93,95,90,96,90,93,95,0,0.115470852,0.10426009,0.106502242,0.100896861,0.107623318,0.100896861,0.10426009,0.106502242
1980,ii,,141,144,146,135,141,128,130,135,0,0.158071749,0.161434978,0.16367713,0.151345291,0.158071749,0.143497758,0.14573991,0.151345291
1980,aa,,374,382,412,425,431,436,443,427,0,0.419282511,0.428251121,0.461883408,0.476457399,0.483183857,0.488789238,0.496636771,0.478699552
1980,ga,,23,20,9,14,15,25,8,14,0,0.025784753,0.022421525,0.010089686,0.015695067,0.016816143,0.028026906,0.00896861,0.015695067
1980,gi,,41,43,33,45,33,43,39,37,0,0.045964126,0.048206278,0.036995516,0.05044843,0.036995516,0.048206278,0.043721973,0.041479821
1980,ig,,33,27,31,33,41,33,36,35,0,0.036995516,0.030269058,0.034753363,0.036995516,0.045964126,0.036995516,0.040358744,0.039237668
1980,ai,,79,76,57,61,55,52,69,59,0,0.088565022,0.085201794,0.063901345,0.06838565,0.061659193,0.058295964,0.07735426,0.066143498
1980,ag,,20,17,23,21,21,17,17,22,0,0.022421525,0.019058296,0.025784753,0.023542601,0.023542601,0.019058296,0.019058296,0.024663677
1980,ia,,78,90,86,68,59,68,57,68,0,0.087443946,0.100896861,0.096412556,0.076233184,0.066143498,0.076233184,0.063901345,0.076233184
1981,G,251,220,203,216,206,213,199,193,196,0.281390135,0.246636771,0.227578475,0.242152466,0.230941704,0.238789238,0.22309417,0.216367713,0.219730942
1981,I,309,311,303,285,253,266,260,258,255,0.346412556,0.348654709,0.339686099,0.319506726,0.283632287,0.298206278,0.291479821,0.289237668,0.285874439
1981,A,456,485,510,515,557,537,557,565,565,0.511210762,0.543721973,0.571748879,0.57735426,0.624439462,0.602017937,0.624439462,0.633408072,0.633408072
1981,gg,,160,154,156,156,155,145,140,149,0,0.179372197,0.17264574,0.174887892,0.174887892,0.173766816,0.162556054,0.156950673,0.167040359
