cohort,cattrans,t00,t01,t02,t03,t04,t05,t06,t07,t08
1980,gg,,103,93,95,90,96,90,93,95
1980,ii,,141,144,146,135,141,128,130,135
1980,aa,,374,382,412,425,431,436,443,427
1980,ga,,23,20,9,14,15,25,8,14
1980,gi,,41,43,33,45,33,43,39,37
1980,ig,,33,27,31,33,41,33,36,35
1980,ai,,79,76,57,61,55,52,69,59
1980,ag,,20,17,23,21,21,17,17,22
1980,ia,,78,90,86,68,59,68,57,68
1981,gg,,160,154,156,156,155,145,140,149
1981,ii,,175,182,171,149,149,142,143,152
1981,aa,,364,396,416,431,453,455,470,481
1981,ga,,26,20,8,22,12,14,13,11
1981,gi,,65,46,39,38,39,54,46,33
1981,ig,,39,35,41,32,32,36,35,33
1981,ai,,71,75,75,66,78,64,69,70
1981,ag,,21,14,19,18,26,18,18,14
1981,ia,,95,94,91,104,72,88,82,73
1982,gg,,186,160,155,145,139,147,134,152
1982,ii,,171,177,165,151,132,145,152,133
1982,aa,,377,418,457,482,496,502,527,516
1982,ga,,28,26,22,27,7,31,13,17
1982,gi,,75,58,41,51,52,48,39,22
1982,ig,,29,35,41,34,54,22,30,46
1982,ai,,82,65,76,72,77,72,73,80
1982,ag,,29,23,27,19,33,17,27,27
1982,ia,,101,116,94,97,88,94,83,85
1983,gg,,230,190,167,152,141,147,145,140
1983,ii,,149,169,171,165,169,166,155,140
1983,aa,,369,418,466,501,501,525,560,572
1983,ga,,45,26,29,18,14,16,14,11
1983,gi,,105,84,57,51,49,43,44,47
1983,ig,,38,43,38,34,35,41,31,35
1983,ai,,75,59,79,79,96,66,66,73
1983,ag,,32,20,16,18,30,15,22,18
1983,ia,,83,117,103,108,91,107,89,90
1984,gg,,306,228,171,144,131,128,117,120
1984,ii,,137,155,184,179,172,167,141,152
1984,aa,,319,368,409,441,508,547,560,555
1984,ga,,44,39,23,38,14,26,13,20
1984,gi,,92,108,81,59,54,31,44,35
1984,ig,,39,26,42,39,36,29,34,37
1984,ai,,54,55,72,67,72,55,91,75
1984,ag,,30,21,28,16,18,17,24,21
1984,ia,,81,102,92,119,97,102,78,87
